"tagfield","liblibrarian","libopac","repeatable","mandatory","authorised_value","frameworkcode"
"047","FORM OF MUSICAL COMPOSITION CODE","FORM OF MUSICAL COMPOSITION CODE","1","0","",""
"048","NUMBER OF MUSICAL INSTRUMENTS OR VOICES CODE","NUMBER OF MUSICAL INSTRUMENTS OR VOICES CODE","1","0","",""
"049","LOCAL HOLDINGS (OCLC)","LOCAL HOLDINGS (OCLC)","0","0","",""
"050","LIBRARY OF CONGRESS CALL NUMBER","LIBRARY OF CONGRESS CALL NUMBER","1","0","",""
"051","LIBRARY OF CONGRESS COPY, ISSUE, OFFPRINT STATEMENT","LIBRARY OF CONGRESS COPY, ISSUE, OFFPRINT STATEMENT","1","0","",""
"052","GEOGRAPHIC CLASSIFICATION","GEOGRAPHIC CLASSIFICATION","1","0","",""
"055","CLASSIFICATION NUMBERS ASSIGNED IN CANADA","CLASSIFICATION NUMBERS ASSIGNED IN CANADA","1","0","",""
"060","NATIONAL LIBRARY OF MEDICINE CALL NUMBER","NATIONAL LIBRARY OF MEDICINE CALL NUMBER","1","0","",""
"061","NATIONAL LIBRARY OF MEDICINE COPY STATEMENT","NATIONAL LIBRARY OF MEDICINE COPY STATEMENT","1","0","",""
"066","CHARACTER SETS PRESENT","CHARACTER SETS PRESENT","0","0","",""
"070","NATIONAL AGRICULTURAL LIBRARY CALL NUMBER","NATIONAL AGRICULTURAL LIBRARY CALL NUMBER","1","0","",""
"071","NATIONAL AGRICULTURAL LIBRARY COPY STATEMENT","NATIONAL AGRICULTURAL LIBRARY COPY STATEMENT","1","0","",""
"072","SUBJECT CATEGORY CODE","SUBJECT CATEGORY CODE","1","0","",""
"074","GPO ITEM NUMBER","GPO ITEM NUMBER","1","0","",""
"080","UNIVERSAL DECIMAL CLASSIFICATION NUMBER","UNIVERSAL DECIMAL CLASSIFICATION NUMBER","1","0","",""
"082","DEWEY DECIMAL CLASSIFICATION NUMBER","DEWEY DECIMAL CLASSIFICATION NUMBER","1","0","",""
"084","OTHER CLASSIFICATION NUMBER","OTHER CLASSIFICATION NUMBER","1","0","",""
"086","GOVERNMENT DOCUMENT CLASSIFICATION NUMBER","GOVERNMENT DOCUMENT CLASSIFICATION NUMBER","1","0","",""
"087","REPORT NUMBER [OBSOLETE, CAN/MARC]","REPORT NUMBER [OBSOLETE, CAN/MARC]","1","0","",""
"088","REPORT NUMBER","REPORT NUMBER","1","0","",""
"090","LOCALLY ASSIGNED LC-TYPE CALL NUMBER (OCLC); LOCAL CALL NUMBER (RLIN)","LOCALLY ASSIGNED LC-TYPE CALL NUMBER (OCLC); LOCAL CALL NUMBER (OCLC)","1","0","",""
"091","MICROFILM SHELF LOCATION (AM) [OBSOLETE]","MICROFILM SHELF LOCATION (AM) [OBSOLETE]","0","0","",""
"092","LOCALLY ASSIGNED DEWEY CALL NUMBER (OCLC)","LOCALLY ASSIGNED DEWEY CALL NUMBER (OCLC)","1","0","",""
"096","LOCALLY ASSIGNED NLM-TYPE CALL NUMBER (OCLC)","LOCALLY ASSIGNED NLM-TYPE CALL NUMBER (OCLC)","1","0","",""
"098","OTHER CLASSIFICATION SCHEMES (OCLC)","OTHER CLASSIFICATION SCHEMES (OCLC)","1","0","",""
"099","LOCAL FREE-TEXT CALL NUMBER (OCLC)","LOCAL FREE-TEXT CALL NUMBER (OCLC)","1","0","",""
"100","MAIN ENTRY--PERSONAL NAME","MAIN ENTRY--PERSONAL NAME","0","0","",""
"110","MAIN ENTRY--CORPORATE NAME","MAIN ENTRY--CORPORATE NAME","0","0","",""
"111","MAIN ENTRY--MEETING NAME","MAIN ENTRY--MEETING NAME","0","0","",""
"130","MAIN ENTRY--UNIFORM TITLE","MAIN ENTRY--UNIFORM TITLE","0","0","",""
"210","ABBREVIATED TITLE","ABBREVIATED TITLE","1","0","",""
"211","ACRONYM OR SHORTENED TITLE [OBSOLETE]","ACRONYM OR SHORTENED TITLE [OBSOLETE]","1","0","",""
"212","VARIANT ACCESS TITLE [OBSOLETE]","VARIANT ACCESS TITLE [OBSOLETE]","1","0","",""
"214","AUGMENTED TITLE [OBSOLETE]","AUGMENTED TITLE [OBSOLETE]","1","0","",""
"222","KEY TITLE","KEY TITLE","1","0","",""
"240","UNIFORM TITLE","UNIFORM TITLE","0","0","Unititle",""
"241","ROMANIZED TITLE (BK AM CF MP MU VM) [OBSOLETE]","ROMANIZED TITLE (BK AM CF MP MU VM) [OBSOLETE]","0","0","",""
"242","TRANSLATION OF TITLE BY CATALOGING AGENCY","TRANSLATION OF TITLE BY CATALOGING AGENCY","1","0","",""
"243","COLLECTIVE UNIFORM TITLE","COLLECTIVE UNIFORM TITLE","0","0","",""
"245","TITLE STATEMENT","TITLE STATEMENT","0","1","",""
"246","VARYING FORM OF TITLE","VARYING FORM OF TITLE","1","0","",""
"247","FORMER TITLE","FORMER TITLE","1","0","",""
"250","EDITION STATEMENT","EDITION STATEMENT","0","0","",""
"254","MUSICAL PRESENTATION STATEMENT","MUSICAL PRESENTATION STATEMENT","0","0","",""
"255","CARTOGRAPHIC MATHEMATICAL DATA","CARTOGRAPHIC MATHEMATICAL DATA","1","0","",""
"256","COMPUTER FILE CHARACTERISTICS","COMPUTER FILE CHARACTERISTICS","0","0","",""
"257","COUNTRY OF PRODUCING ENTITY FOR ARCHIVAL FILMS","COUNTRY OF PRODUCING ENTITY FOR ARCHIVAL FILMS","0","0","",""
"258","PHILATELIC ISSUE DATE","PHILATELIC ISSUE DATE","1","0","",""
"260","PUBLICATION, DISTRIBUTION, ETC. (IMPRINT)","PUBLICATION, DISTRIBUTION, ETC. (IMPRINT)","1","0","",""
"261","IMPRINT STATEMENT FOR FILMS (Pre-AACR 1 Revised) [OBSOLETE, CAN/MARC], [LOCAL, USA]","IMPRINT STATEMENT FOR FILMS (Pre-AACR 1 Revised) [OBSOLETE, CAN/MARC], [LOCAL, USA]","0","0","",""
"262","IMPRINT STATEMENT FOR SOUND RECORDINGS (Pre-AACR 2) [LOCAL, USA]","IMPRINT STATEMENT FOR SOUND RECORDINGS (Pre-AACR 2) [LOCAL, USA]","0","0","",""
"263","PROJECTED PUBLICATION DATE","PROJECTED PUBLICATION DATE","0","0","",""
"265","SOURCE FOR ACQUISITION/SUBSCRIPTION ADDRESS [OBSOLETE]","SOURCE FOR ACQUISITION/SUBSCRIPTION ADDRESS [OBSOLETE]","0","0","",""
"270","ADDRESS","ADDRESS","1","0","",""
"300","PHYSICAL DESCRIPTION","PHYSICAL DESCRIPTION","1","0","",""
"301","PHYSICAL DESCRIPTION FOR FILMS (PRE-AACR 2) (VM) [OBSOLETE, USMARC]","PHYSICAL DESCRIPTION FOR FILMS (PRE-AACR 2) (VM) [OBSOLETE, USMARC]","0","0","",""
"302","PAGE OR ITEM COUNT (BK AM) [OBSOLETE]","PAGE OR ITEM COUNT (BK AM) [OBSOLETE]","0","0","",""
"303","UNIT COUNT (AM) [OBSOLETE, USMARC]","UNIT COUNT (AM) [OBSOLETE, USMARC]","0","0","",""
"304","LINEAR FOOTAGE (AM) [OBSOLETE, USMARC]","LINEAR FOOTAGE (AM) [OBSOLETE, USMARC]","0","0","",""
"305","PHYSICAL DESCRIPTION FOR SOUND RECORDINGS (Pre-AACR 2) (MU) [OBSOLETE]","PHYSICAL DESCRIPTION FOR SOUND RECORDINGS (Pre-AACR 2) (MU) [OBSOLETE]","0","0","",""
"306","PLAYING TIME","PLAYING TIME","0","0","",""
"307","HOURS, ETC.","HOURS, ETC.","1","0","",""
"308","PHYSICAL DESCRIPTION FOR FILMS (ARCHIVAL) (VM) [OBSOLETE]","PHYSICAL DESCRIPTION FOR FILMS (ARCHIVAL) (VM) [OBSOLETE]","1","0","",""
"310","CURRENT PUBLICATION FREQUENCY","CURRENT PUBLICATION FREQUENCY","0","0","",""
"315","FREQUENCY (CF MP) [OBSOLETE]","FREQUENCY (CF MP) [OBSOLETE]","0","0","",""
"321","FORMER PUBLICATION FREQUENCY","FORMER PUBLICATION FREQUENCY","1","0","",""
"340","PHYSICAL MEDIUM","PHYSICAL MEDIUM","1","0","",""
"342","GEOSPATIAL REFERENCE DATA","GEOSPATIAL REFERENCE DATA","1","0","",""
"343","PLANAR COORDINATE DATA","PLANAR COORDINATE DATA","1","0","",""
"350","PRICE (NR) (BK AM CF MU VM SE) [OBSOLETE]","PRICE (NR) (BK AM CF MU VM SE) [OBSOLETE]","1","0","",""
"351","ORGANIZATION AND ARRANGEMENT OF MATERIALS","ORGANIZATION AND ARRANGEMENT OF MATERIALS","1","0","",""
"352","DIGITAL GRAPHIC REPRESENTATION","DIGITAL GRAPHIC REPRESENTATION","1","0","",""
"355","SECURITY CLASSIFICATION CONTROL","SECURITY CLASSIFICATION CONTROL","1","0","",""
"357","ORIGINATOR DISSEMINATION CONTROL","ORIGINATOR DISSEMINATION CONTROL","0","0","",""
"359","RENTAL PRICE (VM) [OBSOLETE]","RENTAL PRICE (VM) [OBSOLETE]","0","0","",""
"362","DATES OF PUBLICATION AND/OR SEQUENTIAL DESIGNATION","DATES OF PUBLICATION AND/OR SEQUENTIAL DESIGNATION","1","0","",""
"365","TRADE PRICE","TRADE PRICE","1","0","",""
"366","TRADE AVAILABILITY INFORMATION","TRADE AVAILABILITY INFORMATION","1","0","",""
"400","SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME [OBSOLETE, CAN/MARC], [LOCAL, USA]","SERIES STATEMENT/ADDED ENTRY--PERSONAL NAME [OBSOLETE, CAN/MARC], [LOCAL, USA]","1","0","",""
"410","SERIES STATEMENT/ADDED ENTRY--CORPORATE NAME [OBSOLETE, CAN/MARC], [LOCAL, USA]","SERIES STATEMENT/ADDED ENTRY--CORPORATE NAME [OBSOLETE, CAN/MARC], [LOCAL, USA]","1","0","",""
"411","SERIES STATEMENT/ADDED ENTRY--MEETING NAME [OBSOLETE, CAN/MARC], [LOCAL, USA]","SERIES STATEMENT/ADDED ENTRY--MEETING NAME [OBSOLETE, CAN/MARC], [LOCAL, USA]","1","0","",""
"440","SERIES STATEMENT/ADDED ENTRY--TITLE","SERIES STATEMENT/ADDED ENTRY--TITLE","1","0","",""
"490","SERIES STATEMENT","SERIES STATEMENT","1","0","",""
"500","GENERAL NOTE","GENERAL NOTE","1","0","",""
"501","WITH NOTE","WITH NOTE","1","0","",""
"502","DISSERTATION NOTE","DISSERTATION NOTE","1","0","",""
"503","BIBLIOGRAPHIC HISTORY NOTE (BK CF MU) [OBSOLETE]","BIBLIOGRAPHIC HISTORY NOTE (BK CF MU) [OBSOLETE]","1","0","",""
"504","BIBLIOGRAPHY, ETC. NOTE","BIBLIOGRAPHY, ETC. NOTE","1","0","",""
"505","FORMATTED CONTENTS NOTE","FORMATTED CONTENTS NOTE","1","0","",""
"506","RESTRICTIONS ON ACCESS NOTE","RESTRICTIONS ON ACCESS NOTE","1","0","",""
"507","SCALE NOTE FOR GRAPHIC MATERIAL","SCALE NOTE FOR GRAPHIC MATERIAL","0","0","",""
"508","CREATION/PRODUCTION CREDITS NOTE","CREATION/PRODUCTION CREDITS NOTE","1","0","",""
"509","INFORMAL NOTES (RLIN)","INFORMAL NOTES (RLIN)","0","0","",""
"510","CITATION/REFERENCES NOTE","CITATION/REFERENCES NOTE","1","0","",""
"511","PARTICIPANT OR PERFORMER NOTE","PARTICIPANT OR PERFORMER NOTE","1","0","",""
"512","EARLIER OR LATER VOLUMES SEPARATELY CATALOGED NOTE (SE) [OBSOLETE]","EARLIER OR LATER VOLUMES SEPARATELY CATALOGED NOTE (SE) [OBSOLETE]","1","0","",""
"513","TYPE OF REPORT AND PERIOD COVERED NOTE","TYPE OF REPORT AND PERIOD COVERED NOTE","1","0","",""
"514","DATA QUALITY NOTE","DATA QUALITY NOTE","0","0","",""
"515","NUMBERING PECULIARITIES NOTE","NUMBERING PECULIARITIES NOTE","1","0","",""
"516","TYPE OF COMPUTER FILE OR DATA NOTE","TYPE OF COMPUTER FILE OR DATA NOTE","1","0","",""
"517","CATEGORIES OF FILMS NOTE (ARCHIVAL) (VM) [OBSOLETE]","CATEGORIES OF FILMS NOTE (ARCHIVAL) (VM) [OBSOLETE]","0","0","",""
"518","DATE/TIME AND PLACE OF AN EVENT NOTE","DATE/TIME AND PLACE OF AN EVENT NOTE","1","0","",""
"520","SUMMARY, ETC.","SUMMARY, ETC.","1","0","",""
"521","TARGET AUDIENCE NOTE","TARGET AUDIENCE NOTE","1","0","",""
"522","GEOGRAPHIC COVERAGE NOTE","GEOGRAPHIC COVERAGE NOTE","1","0","",""
"523","TIME PERIOD OF CONTENT NOTE (CF) [OBSOLETE]","TIME PERIOD OF CONTENT NOTE (CF) [OBSOLETE]","0","0","",""
"524","PREFERRED CITATION OF DESCRIBED MATERIALS NOTE","PREFERRED CITATION OF DESCRIBED MATERIALS NOTE","1","0","",""
"525","SUPPLEMENT NOTE","SUPPLEMENT NOTE","0","0","",""
"526","STUDY PROGRAM INFORMATION NOTE","STUDY PROGRAM INFORMATION NOTE","0","0","",""
"527","CENSORSHIP NOTE (VM) [OBSOLETE]","CENSORSHIP NOTE (VM) [OBSOLETE]","1","0","",""
"530","ADDITIONAL PHYSICAL FORM AVAILABLE NOTE","ADDITIONAL PHYSICAL FORM AVAILABLE NOTE","1","0","",""
"533","REPRODUCTION NOTE","REPRODUCTION NOTE","1","0","",""
"534","ORIGINAL VERSION NOTE","ORIGINAL VERSION NOTE","1","0","",""
"535","LOCATION OF ORIGINALS/DUPLICATES NOTE","LOCATION OF ORIGINALS/DUPLICATES NOTE","1","0","",""
"536","FUNDING INFORMATION NOTE","FUNDING INFORMATION NOTE","1","0","",""
"537","SOURCE OF DATA NOTE (CF) [OBSOLETE]","SOURCE OF DATA NOTE (CF) [OBSOLETE]","0","0","",""
"538","SYSTEM DETAILS NOTE","SYSTEM DETAILS NOTE","1","0","",""
"540","TERMS GOVERNING USE AND REPRODUCTION NOTE","TERMS GOVERNING USE AND REPRODUCTION NOTE","1","0","",""
"541","IMMEDIATE SOURCE OF ACQUISITION NOTE","IMMEDIATE SOURCE OF ACQUISITION NOTE","1","0","",""
"543","SOLICITATION INFORMATION NOTE (AM) [OBSOLETE]","SOLICITATION INFORMATION NOTE (AM) [OBSOLETE]","1","0","",""
"544","LOCATION OF OTHER ARCHIVAL MATERIALS NOTE","LOCATION OF OTHER ARCHIVAL MATERIALS NOTE","1","0","",""
"545","BIOGRAPHICAL OR HISTORICAL DATA","BIOGRAPHICAL OR HISTORICAL DATA","1","0","",""
"546","LANGUAGE NOTE","LANGUAGE NOTE","1","0","",""
"547","FORMER TITLE COMPLEXITY NOTE","FORMER TITLE COMPLEXITY NOTE","1","0","",""
"550","ISSUING BODY NOTE","ISSUING BODY NOTE","1","0","",""
"552","ENTITY AND ATTRIBUTE INFORMATION NOTE","ENTITY AND ATTRIBUTE INFORMATION NOTE","1","0","",""
"555","CUMULATIVE INDEX/FINDING AIDS NOTE","CUMULATIVE INDEX/FINDING AIDS NOTE","1","0","",""
"556","INFORMATION ABOUT DOCUMENTATION NOTE","INFORMATION ABOUT DOCUMENTATION NOTE","1","0","",""
"561","OWNERSHIP AND CUSTODIAL HISTORY","OWNERSHIP AND CUSTODIAL HISTORY","1","0","",""
"562","COPY AND VERSION IDENTIFICATION NOTE","COPY AND VERSION IDENTIFICATION NOTE","1","0","",""
"563","BINDING INFORMATION","BINDING INFORMATION","1","0","",""
"565","CASE FILE CHARACTERISTICS NOTE","CASE FILE CHARACTERISTICS NOTE","1","0","",""
"567","METHODOLOGY NOTE","METHODOLOGY NOTE","1","0","",""
"570","EDITOR NOTE (SE) [OBSOLETE]","EDITOR NOTE (SE) [OBSOLETE]","1","0","",""
"580","LINKING ENTRY COMPLEXITY NOTE","LINKING ENTRY COMPLEXITY NOTE","1","0","",""
"581","PUBLICATIONS ABOUT DESCRIBED MATERIALS NOTE","PUBLICATIONS ABOUT DESCRIBED MATERIALS NOTE","1","0","",""
"582","RELATED COMPUTER FILES NOTE (CF) [OBSOLETE]","RELATED COMPUTER FILES NOTE (CF) [OBSOLETE]","1","0","",""
"583","ACTION NOTE","ACTION NOTE","1","0","",""
"584","ACCUMULATION AND FREQUENCY OF USE NOTE","ACCUMULATION AND FREQUENCY OF USE NOTE","1","0","",""
"585","EXHIBITIONS NOTE","EXHIBITIONS NOTE","1","0","",""
"586","AWARDS NOTE","AWARDS NOTE","1","0","",""
"590","LOCAL NOTE (RLIN)","LOCAL NOTE (RLIN)","1","0","",""
"600","SUBJECT ADDED ENTRY--PERSONAL NAME","SUBJECT ADDED ENTRY--PERSONAL NAME","1","0","",""
"610","SUBJECT ADDED ENTRY--CORPORATE NAME","SUBJECT ADDED ENTRY--CORPORATE NAME","1","0","",""
"611","SUBJECT ADDED ENTRY--MEETING NAME","SUBJECT ADDED ENTRY--MEETING NAME","1","0","",""
"630","SUBJECT ADDED ENTRY--UNIFORM TITLE","SUBJECT ADDED ENTRY--UNIFORM TITLE","1","0","",""
"648","SUBJECT ADDED ENTRY--CHRONOLOGICAL TERM","SUBJECT ADDED ENTRY--CHRONOLOGICAL TERM","1","0","",""
"650","SUBJECT ADDED ENTRY--TOPICAL TERM","SUBJECT ADDED ENTRY--TOPICAL TERM","1","0","",""
"651","SUBJECT ADDED ENTRY--GEOGRAPHIC NAME","SUBJECT ADDED ENTRY--GEOGRAPHIC NAME","1","0","",""
"652","SUBJECT ADDED ENTRY--REVERSE GEOGRAPHIC (BK MP SE) [OBSOLETE]","SUBJECT ADDED ENTRY--REVERSE GEOGRAPHIC (BK MP SE) [OBSOLETE]","1","0","",""
"653","INDEX TERM--UNCONTROLLED","INDEX TERM--UNCONTROLLED","1","0","",""
"654","SUBJECT ADDED ENTRY--FACETED TOPICAL TERM","SUBJECT ADDED ENTRY--FACETED TOPICAL TERM","1","0","",""
"655","INDEX TERM--GENRE/FORM","INDEX TERM--GENRE/FORM","1","0","",""
"656","INDEX TERM--OCCUPATION","INDEX TERM--OCCUPATION","1","0","",""
"657","INDEX TERM--FUNCTION","INDEX TERM--FUNCTION","1","0","",""
"658","INDEX TERM--CURRICULUM OBJECTIVE","INDEX TERM--CURRICULUM OBJECTIVE","1","0","",""
"662","SUBJECT ADDED ENTRY--HIERARCHICAL PLACE NAME","SUBJECT ADDED ENTRY--HIERARCHICAL PLACE NAME","1","0","",""
"690","LOCAL SUBJECT ADDED ENTRY--TOPICAL TERM (OCLC, RLIN)","LOCAL SUBJECT ADDED ENTRY--TOPICAL TERM (OCLC, RLIN)","1","0","",""
"691","LOCAL SUBJECT ADDED ENTRY--GEOGRAPHIC NAME (RLIN)","LOCAL SUBJECT ADDED ENTRY--GEOGRAPHIC NAME (RLIN)","1","0","",""
"696","LOCAL SUBJECT ADDED ENTRY--PERSONAL NAME (RLIN)","LOCAL SUBJECT ADDED ENTRY--PERSONAL NAME (RLIN)","1","0","",""
"697","LOCAL SUBJECT ADDED ENTRY--CORPORATE NAME (RLIN)","LOCAL SUBJECT ADDED ENTRY--CORPORATE NAME (RLIN)","1","0","",""
"698","LOCAL SUBJECT ADDED ENTRY--MEETING NAME (RLIN)","LOCAL SUBJECT ADDED ENTRY--MEETING NAME (RLIN)","1","0","",""
"699","LOCAL SUBJECT ADDED ENTRY--UNIFORM TITLE (RLIN)","LOCAL SUBJECT ADDED ENTRY--UNIFORM TITLE (RLIN)","1","0","",""
"700","ADDED ENTRY--PERSONAL NAME","ADDED ENTRY--PERSONAL NAME","1","0","",""
"705","ADDED ENTRY--PERSONAL NAME (PERFORMER) (MU) [OBSOLETE]","ADDED ENTRY--PERSONAL NAME (PERFORMER) (MU) [OBSOLETE]","1","0","",""
"710","ADDED ENTRY--CORPORATE NAME","ADDED ENTRY--CORPORATE NAME","1","0","",""
"711","ADDED ENTRY--MEETING NAME","ADDED ENTRY--MEETING NAME","1","0","",""
"715","ADDED ENTRY--CORPORATE NAME (PERFORMER) (MU) [OBSOLETE]","ADDED ENTRY--CORPORATE NAME (PERFORMER) (MU) [OBSOLETE]","1","0","",""
"720","ADDED ENTRY--UNCONTROLLED NAME","ADDED ENTRY--UNCONTROLLED NAME","1","0","",""
"730","ADDED ENTRY--UNIFORM TITLE","ADDED ENTRY--UNIFORM TITLE","1","0","",""
"740","ADDED ENTRY--UNCONTROLLED RELATED/ANALYTICAL TITLE","ADDED ENTRY--UNCONTROLLED RELATED/ANALYTICAL TITLE","1","0","",""
"752","ADDED ENTRY--HIERARCHICAL PLACE NAME","ADDED ENTRY--HIERARCHICAL PLACE NAME","1","0","",""
"753","SYSTEM DETAILS ACCESS TO COMPUTER FILES","SYSTEM DETAILS ACCESS TO COMPUTER FILES","1","0","",""
"754","ADDED ENTRY--TAXONOMIC IDENTIFICATION","ADDED ENTRY--TAXONOMIC IDENTIFICATION","1","0","",""
"755","ADDED ENTRY--PHYSICAL CHARACTERISTICS [OBSOLETE]","ADDED ENTRY--PHYSICAL CHARACTERISTICS [OBSOLETE]","1","0","",""
"760","MAIN SERIES ENTRY","MAIN SERIES ENTRY","1","0","",""
"762","SUBSERIES ENTRY","SUBSERIES ENTRY","1","0","",""
"765","ORIGINAL LANGUAGE ENTRY","ORIGINAL LANGUAGE ENTRY","1","0","",""
"767","TRANSLATION ENTRY","TRANSLATION ENTRY","1","0","",""
"770","SUPPLEMENT/SPECIAL ISSUE ENTRY","SUPPLEMENT/SPECIAL ISSUE ENTRY","1","0","",""
"772","SUPPLEMENT PARENT ENTRY","SUPPLEMENT PARENT ENTRY","1","0","",""
"773","HOST ITEM ENTRY","HOST ITEM ENTRY","1","0","",""
"774","CONSTITUENT UNIT ENTRY","CONSTITUENT UNIT ENTRY","1","0","",""
"775","OTHER EDITION ENTRY","OTHER EDITION ENTRY","1","0","",""
"776","ADDITIONAL PHYSICAL FORM ENTRY","ADDITIONAL PHYSICAL FORM ENTRY","1","0","",""
"777","ISSUED WITH ENTRY","ISSUED WITH ENTRY","1","0","",""
"780","PRECEDING ENTRY","PRECEDING ENTRY","1","0","",""
"785","SUCCEEDING ENTRY","SUCCEEDING ENTRY","1","0","",""
"786","DATA SOURCE ENTRY","DATA SOURCE ENTRY","1","0","",""
"787","NONSPECIFIC RELATIONSHIP ENTRY","NONSPECIFIC RELATIONSHIP ENTRY","1","0","",""
"789","COMPONENT ITEM ENTRY (RLIN)","COMPONENT ITEM ENTRY (RLIN)","1","0","",""
"796","LOCAL ADDED ENTRY--PERSONAL NAME (RLIN)","LOCAL ADDED ENTRY--PERSONAL NAME (RLIN)","1","0","",""
"797","LOCAL ADDED ENTRY--CORPORATE NAME (RLIN)","LOCAL ADDED ENTRY--CORPORATE NAME (RLIN)","1","0","",""
"798","LOCAL ADDED ENTRY--MEETING NAME (RLIN)","LOCAL ADDED ENTRY--MEETING NAME (RLIN)","1","0","",""
"799","LOCAL ADDED ENTRY--UNIFORM TITLE (RLIN)","LOCAL ADDED ENTRY--UNIFORM TITLE (RLIN)","1","0","",""
"800","SERIES ADDED ENTRY--PERSONAL NAME","SERIES ADDED ENTRY--PERSONAL NAME","1","0","",""
