"tagfield","liblibrarian","libopac","repeatable","mandatory","authorised_value","frameworkcode"
"610","z","Geographic subdivision","Geographic subdivision","1","0","","6","","","","","0","","","","","9999"
"611","2","Source of heading or term","Source of heading or term","0","0","","6","","","","","-1","","","","","9999"
"611","3","Materials specified","Materials specified","0","0","","6","","","","","-6","","","","","9999"
"611","4","Relator code","Relator code","1","0","","6","","","","","-6","","","","","9999"
"611","6","Linkage","Linkage","0","0","","6","","","","","-6","","","","","9999"
"611","8","Field link and sequence number","Field link and sequence number","1","0","","6","","","","","-6","","","","","9999"
"611","9","9 (RLIN)","9 (RLIN)","0","0","","6","","","","0","-5","","","","","9999"
"611","a","Meeting name or jurisdiction name as entry element","Meeting name or jurisdiction name as entry element","0","0","","6","","MEETI_NAME","","","-1","","","","","9999"
"611","b","Number  (BK CF MP MU SE VM MX)  [OBSOLETE]","Number  (BK CF MP MU SE VM MX)  [OBSOLETE]","1","0","","-1","","","","","-6","","","","","9999"
"611","c","Location of meeting","Location of meeting","0","0","","6","","","","","-1","","","","","9999"
"611","d","Date of meeting","Date of meeting","0","0","","6","","","","","-1","","","","","9999"
"611","e","Subordinate unit","Subordinate unit","1","0","","6","","","","","-1","","","","","9999"
"611","f","Date of a work","Date of a work","0","0","","6","","","","","-6","","","","","9999"
"611","g","Miscellaneous information","Miscellaneous information","0","0","","6","","","","","-6","","","","","9999"
"611","h","Medium","Medium","0","0","","6","","","","","-6","","","","","9999"
"611","j","Relator term","Relator term","1","0","","6","","","","","-6","","","","","9999"
"611","k","Form subheading","Form subheading","1","0","","6","","","","","-6","","","","","9999"
"611","l","Language of a work","Language of a work","0","0","","6","","","","","-6","","","","","9999"
"611","n","Number of part/section/meeting","Number of part/section/meeting","1","0","","6","","","","","-6","","","","","9999"
"611","p","Name of part/section of a work","Name of part/section of a work","1","0","","6","","","","","-6","","","","","9999"
"611","q","Name of meeting following jurisdiction name entry element","Name of meeting following jurisdiction name entry element","0","0","","6","","","","","-6","","","","","9999"
"611","s","Version","Version","0","0","","6","","","","","-6","","","","","9999"
"611","t","Title of a work","Title of a work","0","0","","6","","","","","-1","","","","","9999"
"611","u","Affiliation","Affiliation","0","0","","6","","","","","-6","","","","","9999"
"611","v","Form subdivision","Form subdivision","1","0","","6","","","","","-1","","","","","9999"
"611","x","General subdivision","General subdivision","1","0","","6","","","","","-1","","","","","9999"
"611","y","Chronological subdivision","Chronological subdivision","1","0","","6","","","","","-1","","","","","9999"
"611","z","Geographic subdivision","Geographic subdivision","1","0","","6","","","","","-1","","","","","9999"
"630","2","Source of heading or term","Source of heading or term","0","0","","6","","","","","-1","","","","","9999"
"630","3","Materials specified","Materials specified","0","0","","6","","","","","-6","","","","","9999"
"630","4","Relator code","Relator code","1","0","","6","","","","","-6","","","","","9999"
"630","6","Linkage","Linkage","0","0","","6","","","","","-6","","","","","9999"
"630","8","Field link and sequence number","Field link and sequence number","1","0","","6","","","","","-6","","","","","9999"
"630","9","9 (RLIN)","9 (RLIN)","0","0","","6","","","","0","-5","","","","","9999"
"630","a","Uniform title","Uniform title","0","0","","6","","UNIF_TITLE","","","0","","","","","9999"
"630","d","Date of treaty signing","Date of treaty signing","1","0","","6","","","","","-6","","","","","9999"
"630","e","Relator term","Relator term","1","0","","6","","","","","-1","","","","","9999"
"630","f","Date of a work","Date of a work","0","0","","6","","","","","-6","","","","","9999"
"630","g","Miscellaneous information","Miscellaneous information","0","0","","6","","","","","-6","","","","","9999"
"630","h","Medium","Medium","0","0","","6","","","","","-6","","","","","9999"
"630","k","Form subheading","Form subheading","1","0","","6","","","","","-6","","","","","9999"
"630","l","Language of a work","Language of a work","0","0","","6","","","","","0","","","","","9999"
"630","m","Medium of performance for music","Medium of performance for music","1","0","","6","","","","","-6","","","","","9999"
"630","n","Number of part/section of a work","Number of part/section of a work","1","0","","6","","","","","-6","","","","","9999"
"630","o","Arranged statement for music","Arranged statement for music","0","0","","6","","","","","-6","","","","","9999"
"630","p","Name of part/section of a work","Name of part/section of a work","1","0","","6","","","","","-6","","","","","9999"
"630","r","Key for music","Key for music","0","0","","6","","","","","-6","","","","","9999"
"630","s","Version","Version","0","0","","6","","","","","-6","","","","","9999"
"630","t","Title of a work","Title of a work","0","0","","6","","","","","0","","","","","9999"
"630","v","Form subdivision","Form subdivision","1","0","","6","","","","","0","","","","","9999"
"630","x","General subdivision","General subdivision","1","0","","6","","","","","0","","","","","9999"
"630","y","Chronological subdivision","Chronological subdivision","1","0","","6","","","","","0","","","","","9999"
"630","z","Geographic subdivision","Geographic subdivision","1","0","","6","","","","","0","","","","","9999"
"648","2","Source of heading or term","Source of heading or term","0","0","","6","","","","","0","","","","","9999"
"648","3","Materials specified","Materials specified","0","0","","6","","","","","-6","","","","","9999"
"648","6","Linkage","Linkage","0","0","","6","","","","","-6","","","","","9999"
"648","8","Field link and sequence number","Field link and sequence number","1","0","","6","","","","","-6","","","","","9999"
"648","9","9 (RLIN)","9 (RLIN)","0","0","","6","","","","0","-5","","","","","9999"
"648","a","Chronological term","Chronological term","0","0","","6","","CHRON_TERM","","","0","","","","","9999"
"648","v","Form subdivision","Form subdivision","1","0","","6","","","","","0","","","","","9999"
"648","x","General subdivision","General subdivision","1","0","","6","","","","","0","","","","","9999"
"648","y","Chronological subdivision","Chronological subdivision","1","0","","6","","","","","0","","","","","9999"
"648","z","Geographic subdivision","Geographic subdivision","1","0","","6","","","","","0","","","","","9999"
"650","2","Source of heading or term","Source of heading or term","0","0","","6","","","","0","0","","","","","9999"
"650","3","Materials specified","Materials specified","0","0","","6","","","","0","-6","","","","","9999"
"650","4","Relator code","Relator code","1","0","","6","","","","","-6","","","","","9999"
"650","6","Linkage","Linkage","0","0","","6","","","","0","-6","","","","","9999"
"650","8","Field link and sequence number","Field link and sequence number","1","0","","6","","","","0","-6","","","","","9999"
"650","9","9 (RLIN)","9 (RLIN)","0","0","","6","","","","0","-5","","","","","9999"
"650","a","Topical term or geographic name as entry element","Topical term or geographic name as entry element","0","0","bibliosubject.subject","6","","TOPIC_TERM","","0","0","","'6003','600a','600b','600c','600d','600e','600f','600g','600h','600k','600l','600m','600n','600o','600p','600r','600s','600t','600u','600x','600z','600y','600v','6103','610a','610b','610c','610d','610e','610f','610g','610h','610k','610l','610m','610n','610o','610p','610r','610s','610t','610u','610x','610z','610y','610v','6113','611a','611b','611c','611d','611e','611f','611g','611h','611k','611l','611m','611n','611o','611p','611r','611s','611t','611u','611x','611z','611y','611v','630a','630b','630c','630d','630e','630f','630g','630h','630k','630l','630m','630n','630o','630p','630r','630s','630t','630x','630z','630y','630v','6483','648a','648x','648z','648y','648v','6503','650b','650c','650d','650e','650x','650z','650y','650v','6513','651a','651b','651c','651d','651e','651x','651z','651y','651v','653a','6543','654a','654b','654x','654z','654y','654v','6553','655a','655b','655x','655z','655y','655v','6563','656a','656k','656x','656z','656y','656v','6573','657a','657x','657z','657y','657v','658a','658b','658c','658d','658v'","","","9999"
"650","b","Topical term following geographic name as entry element","Topical term following geographic name as entry element","0","0","","6","","","","0","-1","","","","","9999"
"650","c","Location of event","Location of event","0","0","","6","","","","0","-1","","","","","9999"
"650","d","Active dates","Active dates","0","0","","6","","","","0","-1","","","","","9999"
"650","e","Relator term","Relator term","0","0","","6","","","","0","-1","","","","","9999"
"650","v","Form subdivision","Form subdivision","1","0","","6","","","","0","0","","","","","9999"
"650","x","General subdivision","General subdivision","1","0","","6","","","","0","0","","","","","9999"
"650","y","Chronological subdivision","Chronological subdivision","1","0","","6","","","","0","0","","","","","9999"
"650","z","Geographic subdivision","Geographic subdivision","1","0","","6","","","","0","0","","","","","9999"
"651","2","Source of heading or term","Source of heading or term","0","0","","6","","","","","0","","","","","9999"
"651","3","Materials specified","Materials specified","0","0","","6","","","","","-6","","","","","9999"
"651","4","Relator code","Relator code","1","0","","6","","","","","-6","","","","","9999"
"651","6","Linkage","Linkage","0","0","","6","","","","","-6","","","","","9999"
"651","8","Field link and sequence number","Field link and sequence number","1","0","","6","","","","","-6","","","","","9999"
"651","9","9 (RLIN)","9 (RLIN)","0","0","","6","","","","0","-5","","","","","9999"
"651","a","Geographic name","Geographic name","0","0","","6","","GEOGR_NAME","","","0","","","","","9999"
"651","b","Geographic name following place entry element [OBSOLETE]","Geographic name following place entry element [OBSOLETE]","1","0","","6","","","","","-6","","","","","9999"
"651","e","Relator term","Relator term","1","0","","6","","","","","-1","","","","","9999"
"651","v","Form subdivision","Form subdivision","1","0","","6","","","","","0","","","","","9999"
"651","x","General subdivision","General subdivision","1","0","","6","","","","","0","","","","","9999"
"651","y","Chronological subdivision","Chronological subdivision","1","0","","6","","","","","0","","","","","9999"
"651","z","Geographic subdivision","Geographic subdivision","1","0","","6","","","","","0","","","","","9999"
"652","a","Geographic name of place element","Geographic name of place element","0","0","","6","","","","","-6","","","","","9999"
"652","x","General subdivision","General subdivision","1","0","","6","","","","","-6","","","","","9999"
"652","y","Chronological subdivision","Chronological subdivision","1","0","","6","","","","","-6","","","","","9999"
"652","z","Geographic subdivision","Geographic subdivision","1","0","","6","","","","","-6","","","","","9999"
"653","6","Linkage","Linkage","0","0","","6","","","","","-6","","","","","9999"
"653","8","Field link and sequence number","Field link and sequence number","1","0","","6","","","","","-6","","","","","9999"
"653","a","Uncontrolled term","Uncontrolled term","1","0","","6","","","","","0","","","","","9999"
"654","2","Source of term","Source of term","0","0","","6","","","","","0","","","","","9999"
"654","3","Materials specified","Materials specified","0","0","","6","","","","","-6","","","","","9999"
"654","4","Relator code","Relator code","1","0","","6","","","","","-6","","","","","9999"
"654","6","Linkage","Linkage","0","0","","6","","","","","-6","","","","","9999"
"654","8","Field link and sequence number","Field link and sequence number","1","0","","6","","","","","-6","","","","","9999"
"654","9","9 (RLIN)","9 (RLIN)","0","0","","6","","","","0","-5","","","","","9999"
"654","a","Focus term","Focus term","1","0","","6","","TOPIC_TERM","","","0","","","","","9999"
"654","b","Non-focus term","Non-focus term","1","0","","6","","","","","0","","","","","9999"
"654","c","Facet/hierarchy designation","Facet/hierarchy designation","1","0","","6","","","","","0","","","","","9999"
"654","e","Relator term","Relator term","1","0","","6","","","","","-1","","","","","9999"
"654","v","Form subdivision","Form subdivision","1","0","","6","","","","","0","","","","","9999"
"654","x","General subdivision","General subdivision","1","0","","6","","","","","0","","","","","9999"
"654","y","Chronological subdivision","Chronological subdivision","1","0","","6","","","","","0","","","","","9999"
"654","z","Geographic subdivision","Geographic subdivision","1","0","","6","","","","","0","","","","","9999"
"655","2","Source of term","Source of term","0","0","","6","","","","","0","","","","","9999"
"655","3","Materials specified","Materials specified","0","0","","6","","","","","-6","","","","","9999"
"655","5","Institution to which field applies","Institution to which field applies","0","0","","6","","","","","-6","","","","","9999"
"655","6","Linkage","Linkage","0","0","","6","","","","","-6","","","","","9999"
"655","8","Field link and sequence number","Field link and sequence number","1","0","","6","","","","","-6","","","","","9999"
"655","9","9 (RLIN)","9 (RLIN)","0","0","","6","","","","0","-5","","","","","9999"
"655","a","Genre/form data or focus term","Genre/form data or focus term","0","0","","6","","GENRE/FORM","","","0","","","","","9999"
"655","b","Non-focus term","Non-focus term","1","0","","6","","","","","0","","","","","9999"
"655","c","Facet/hierarchy designation","Facet/hierarchy designation","1","0","","6","","","","","0","","","","","9999"
"655","v","Form subdivision","Form subdivision","1","0","","6","","","","","0","","","","","9999"
"655","x","General subdivision","General subdivision","1","0","","6","","","","","0","","","","","9999"
"655","y","Chronological subdivision","Chronological subdivision","1","0","","6","","","","","0","","","","","9999"
"655","z","Geographic subdivision","Geographic subdivision","1","0","","6","","","","","0","","","","","9999"
"656","2","Source of term","Source of term","0","0","","6","","","","","-6","","","","","9999"
"656","3","Materials specified","Materials specified","0","0","","6","","","","","-6","","","","","9999"
"656","6","Linkage","Linkage","0","0","","6","","","","","-6","","","","","9999"
"656","8","Field link and sequence number","Field link and sequence number","1","0","","6","","","","","-6","","","","","9999"
"656","9","9 (RLIN)","9 (RLIN)","0","0","","6","","","","0","-5","","","","","9999"
"656","a","Occupation","Occupation","0","0","","6","","TOPIC_TERM","","","-6","","","","","9999"
"656","k","Form","Form","0","0","","6","","","","","-6","","","","","9999"
"656","v","Form subdivision","Form subdivision","1","0","","6","","","","","-6","","","","","9999"
"656","x","General subdivision","General subdivision","1","0","","6","","","","","-6","","","","","9999"
"656","y","Chronological subdivision","Chronological subdivision","1","0","","6","","","","","-6","","","","","9999"
"656","z","Geographic subdivision","Geographic subdivision","1","0","","6","","","","","-6","","","","","9999"
"657","2","Source of term","Source of term","0","0","","6","","","","","-6","","","","","9999"
"657","3","Materials specified","Materials specified","0","0","","6","","","","","-6","","","","","9999"
"657","6","Linkage","Linkage","0","0","","6","","","","","-6","","","","","9999"
"657","8","Field link and sequence number","Field link and sequence number","1","0","","6","","","","","-6","","","","","9999"
"657","9","9 (RLIN)","9 (RLIN)","0","0","","6","","","","0","-5","","","","","9999"
"657","a","Function","Function","0","0","","6","","TOPIC_TERM","","","-6","","","","","9999"
"657","v","Form subdivision","Form subdivision","1","0","","6","","","","","-6","","","","","9999"
"657","x","General subdivision","General subdivision","1","0","","6","","","","","-6","","","","","9999"
"657","y","Chronological subdivision","Chronological subdivision","1","0","","6","","","","","-6","","","","","9999"
"657","z","Geographic subdivision","Geographic subdivision","1","0","","6","","","","","-6","","","","","9999"
"658","2","Source of term","Source of term","0","0","","6","","","","","-6","","","","","9999"
"658","6","Linkage","Linkage","0","0","","6","","","","","-6","","","","","9999"
"658","8","Field link and sequence number","Field link and sequence number","1","0","","6","","","","","-6","","","","","9999"
"658","9","9 (RLIN)","9 (RLIN)","0","0","","6","","","","0","-5","","","","","9999"
"658","a","Main curriculum objective","Main curriculum objective","0","0","","6","","TOPIC_TERM","","","0","","","","","9999"
"658","b","Subordinate curriculum objective","Subordinate curriculum objective","1","0","","6","","","","","0","","","","","9999"
"658","c","Curriculum code","Curriculum code","0","0","","6","","","","","0","","","","","9999"
"658","d","Correlation factor","Correlation factor","0","0","","6","","","","","-6","","","","","9999"
"662","2","Source of term","Source of term","0","0","","6","","","","","0","","","","","9999"
"662","3","Materials specified","Materials specified","0","0","","6","","","","","-6","","","","","9999"
"662","4","Relator code","Relator code","1","0","","6","","","","","-6","","","","","9999"
"662","6","Linkage","Linkage","0","0","","6","","","","","-6","","","","","9999"
"662","8","Field link and sequence number","Field link and sequence number","1","0","","6","","","","","-6","","","","","9999"
"662","9","9 (RLIN)","9 (RLIN)","0","0","","6","","","","0","-5","","","","","9999"
"662","a","Country or larger entity","Country or larger entity","1","0","","6","","GEOGR_NAME","","","0","","","","","9999"
"662","b","First-order political jurisdiction","First-order political jurisdiction","0","0","","6","","","","","0","","","","","9999"
"662","c","Intermediate political jurisdiction","Intermediate political jurisdiction","1","0","","6","","","","","0","","","","","9999"
"662","d","City","City","0","0","","6","","","","","0","","","","","9999"
"662","e","Relator term","Relator term","1","0","","6","","","","","-1","","","","","9999"
"662","f","City subsection","City subsection","1","0","","6","","","","","0","","","","","9999"
"662","g","Other nonjurisdictional geographic region and feature","Other nonjurisdictional geographic region and feature","1","0","","6","","","","","0","","","","","9999"
"662","h","Extraterrestrial area","Extraterrestrial area","1","0","","6","","","","","0","","","","","9999"
"690","%","% (RLIN)","% (RLIN)","0","0","","6","","","","0","-6","","","","","9999"
"690","2","Source of heading or term","Source of heading or term","0","0","","6","","","","0","0","","","","","9999"
"690","3","Materials specified","Materials specified","0","0","","6","","","","0","-6","","","","","9999"
"690","6","Linkage","Linkage","0","0","","6","","","","0","-6","","","","","9999"
"690","8","Field link and sequence number","Field link and sequence number","1","0","","6","","","","0","-6","","","","","9999"
"690","9","9 (RLIN)","9 (RLIN)","0","0","","6","","","","0","-5","","","","","9999"
"690","a","Topical term or geographic name as entry element","Topical term or geographic name as entry element","0","0","","6","","TOPIC_TERM","","0","0","","","","","9999"
"690","b","Topical term following geographic name as entry element","Topical term following geographic name as entry element","0","0","","6","","","","0","-1","","","","","9999"
"690","c","Location of event","Location of event","0","0","","6","","","","0","-6","","","","","9999"
"690","d","Active dates","Active dates","0","0","","6","","","","0","-1","","","","","9999"
"690","e","Relator term","Relator term","0","0","","6","","","","0","-1","","","","","9999"
"690","v","Form subdivision","Form subdivision","1","0","","6","","","","0","0","","","","","9999"
"690","x","General subdivision","General subdivision","1","0","","6","","","","0","0","","","","","9999"
"690","y","Chronological subdivision","Chronological subdivision","1","0","","6","","","","0","0","","","","","9999"
"690","z","Geographic subdivision","Geographic subdivision","1","0","","6","","","","0","0","","","","","9999"
"691","%","% (RLIN)","% (RLIN)","0","0","","6","","","","0","-6","","","","","9999"
"691","2","Source of heading or term","Source of heading or term","0","0","","6","","","","","-6","","","","","9999"
"691","3","Materials specified","Materials specified","0","0","","6","","","","","-6","","","","","9999"
"691","6","Linkage","Linkage","0","0","","6","","","","","-6","","","","","9999"
"691","8","Field link and sequence number","Field link and sequence number","1","0","","6","","","","","-6","","","","","9999"
"691","9","9 (RLIN)","9 (RLIN)","0","0","","6","","","","0","-5","","","","","9999"
"691","a","Geographic name","Geographic name","0","0","","6","","GEOGR_NAME","","","-6","","","","","9999"
"691","b","Geographic name following place entry element [OBSOLETE]","Geographic name following place entry element [OBSOLETE]","1","0","","6","","","","","-6","","","","","9999"
"691","v","Form subdivision","Form subdivision","1","0","","6","","","","","-6","","","","","9999"
"691","x","General subdivision","General subdivision","1","0","","6","","","","","-6","","","","","9999"
"691","y","Chronological subdivision","Chronological subdivision","1","0","","6","","","","","-6","","","","","9999"
"691","z","Geographic subdivision","Geographic subdivision","1","0","","6","","","","","-6","","","","","9999"
"696","%","% (RLIN)","% (RLIN)","0","0","","6","","","","0","-6","","","","","9999"
"696","2","Source of heading or term","Source of heading or term","0","0","","6","","","","","-6","","","","","9999"
"696","3","Materials specified","Materials specified","0","0","","6","","","","","-6","","","","","9999"
"696","4","Relator code","Relator code","1","0","","6","","","","","-6","","","","","9999"
"696","6","Linkage","Linkage","0","0","","6","","","","","-6","","","","","9999"
"696","8","Field link and sequence number","Field link and sequence number","1","0","","6","","","","","-6","","","","","9999"
"696","9","9 (RLIN)","9 (RLIN)","0","0","","6","","","","0","-5","","","","","9999"
"696","a","Personal name","Personal name","0","0","","6","","PERSO_NAME","","","-6","","","","","9999"
"696","b","Numeration","Numeration","0","0","","6","","","","","-6","","","","","9999"
"696","c","Titles and other words associated with a name","Titles and other words associated with a name","1","0","","6","","","","","-6","","","","","9999"
"696","d","Dates associated with a name","Dates associated with a name","0","0","","6","","","","","-6","","","","","9999"
"696","e","Relator term","Relator term","1","0","","6","","","","","-6","","","","","9999"
"696","f","Date of a work","Date of a work","0","0","","6","","","","","-6","","","","","9999"
"696","g","Miscellaneous information","Miscellaneous information","0","0","","6","","","","","-6","","","","","9999"
"696","h","Medium","Medium","0","0","","6","","","","","-6","","","","","9999"
"696","j","Attribution qualifier","Attribution qualifier","1","0","","6","","","","","-6","","","","","9999"
"696","k","Form subheading","Form subheading","1","0","","6","","","","","-6","","","","","9999"
"696","l","Language of a work","Language of a work","0","0","","6","","","","","-6","","","","","9999"
"696","m","Medium of performance for music","Medium of performance for music","1","0","","6","","","","","-6","","","","","9999"
"696","n","Number of part/section of a work","Number of part/section of a work","1","0","","6","","","","","-6","","","","","9999"
"696","o","Arranged statement for music","Arranged statement for music","0","0","","6","","","","","-6","","","","","9999"
"696","p","Name of part/section of a work","Name of part/section of a work","1","0","","6","","","","","-6","","","","","9999"
"696","q","Fuller form of name","Fuller form of name","0","0","","6","","","","","-6","","","","","9999"
"696","r","Key for music","Key for music","0","0","","6","","","","","-6","","","","","9999"
"696","s","Version","Version","0","0","","6","","","","","-6","","","","","9999"
"696","t","Title of a work","Title of a work","0","0","","6","","","","","-6","","","","","9999"
"696","u","Affiliation","Affiliation","0","0","","6","","","","","-6","","","","","9999"
"696","v","Form subdivision","Form subdivision","1","0","","6","","","","","-6","","","","","9999"
"696","x","General subdivision","General subdivision","1","0","","6","","","","","-6","","","","","9999"
"696","y","Chronological subdivision","Chronological subdivision","1","0","","6","","","","","-6","","","","","9999"
"696","z","Geographic subdivision","Geographic subdivision","1","0","","6","","","","","-6","","","","","9999"
"697","%","% (RLIN)","% (RLIN)","0","0","","6","","","","0","-6","","","","","9999"
"697","2","Source of heading or term","Source of heading or term","0","0","","6","","","","","-6","","","","","9999"
"697","3","Materials specified","Materials specified","0","0","","6","","","","","-6","","","","","9999"
"697","4","Relator code","Relator code","1","0","","6","","","","","-6","","","","","9999"
"697","6","Linkage","Linkage","0","0","","6","","","","","-6","","","","","9999"
"697","8","Field link and sequence number","Field link and sequence number","1","0","","6","","","","","-6","","","","","9999"
"697","9","9 (RLIN)","9 (RLIN)","0","0","","6","","","","0","-5","","","","","9999"
"697","a","Corporate name or jurisdiction name as entry element","Corporate name or jurisdiction name as entry element","0","0","","6","","CORPO_NAME","","","-6","","","","","9999"
"697","b","Subordinate unit","Subordinate unit","1","0","","6","","","","","-6","","","","","9999"
"697","c","Location of meeting","Location of meeting","0","0","","6","","","","","-6","","","","","9999"
"697","d","Date of meeting or treaty signing","Date of meeting or treaty signing","1","0","","6","","","","","-6","","","","","9999"
"697","e","Relator term","Relator term","1","0","","6","","","","","-6","","","","","9999"
"697","f","Date of a work","Date of a work","0","0","","6","","","","","-6","","","","","9999"
"697","g","Miscellaneous information","Miscellaneous information","0","0","","6","","","","","-6","","","","","9999"
"697","h","Medium","Medium","0","0","","6","","","","","-6","","","","","9999"
"697","k","Form subheading","Form subheading","1","0","","6","","","","","-6","","","","","9999"
"697","l","Language of a work","Language of a work","0","0","","6","","","","","-6","","","","","9999"
"697","m","Medium of performance for music","Medium of performance for music","1","0","","6","","","","","-6","","","","","9999"
"697","n","Number of part/section/meeting","Number of part/section/meeting","1","0","","6","","","","","-6","","","","","9999"
"697","o","Arranged statement for music","Arranged statement for music","0","0","","6","","","","","-6","","","","","9999"
"697","p","Name of part/section of a work","Name of part/section of a work","1","0","","6","","","","","-6","","","","","9999"
"697","r","Key for music","Key for music","0","0","","6","","","","","-6","","","","","9999"
"697","s","Version","Version","0","0","","6","","","","","-6","","","","","9999"
"697","t","Title of a work","Title of a work","0","0","","6","","","","","-6","","","","","9999"
"697","u","Affiliation","Affiliation","0","0","","6","","","","","-6","","","","","9999"
"697","v","Form subdivision","Form subdivision","1","0","","6","","","","","-6","","","","","9999"
"697","x","General subdivision","General subdivision","1","0","","6","","","","","-6","","","","","9999"
"697","y","Chronological subdivision","Chronological subdivision","1","0","","6","","","","","-6","","","","","9999"
"697","z","Geographic subdivision","Geographic subdivision","1","0","","6","","","","","-6","","","","","9999"
"698","%","% (RLIN)","% (RLIN)","0","0","","6","","","","0","-6","","","","","9999"
"698","2","Source of heading or term","Source of heading or term","0","0","","6","","","","","-6","","","","","9999"
"698","3","Materials specified","Materials specified","0","0","","6","","","","","-6","","","","","9999"
"698","4","Relator code","Relator code","1","0","","6","","","","","-6","","","","","9999"
"698","6","Linkage","Linkage","0","0","","6","","","","","-6","","","","","9999"
"698","8","Field link and sequence number","Field link and sequence number","1","0","","6","","","","","-6","","","","","9999"
"698","9","9 (RLIN)","9 (RLIN)","0","0","","6","","","","0","-5","","","","","9999"
"698","a","Meeting name or jurisdiction name as entry element","Meeting name or jurisdiction name as entry element","0","0","","6","","MEETI_NAME","","","-6","","","","","9999"
"698","b","Number  (BK CF MP MU SE VM MX)  [OBSOLETE]","Number  (BK CF MP MU SE VM MX)  [OBSOLETE]","1","0","","-1","","","","","-6","","","","","9999"
"698","c","Location of meeting","Location of meeting","0","0","","6","","","","","-6","","","","","9999"
"698","d","Date of meeting","Date of meeting","0","0","","6","","","","","-6","","","","","9999"
"698","e","Subordinate unit","Subordinate unit","1","0","","6","","","","","-6","","","","","9999"
"698","f","Date of a work","Date of a work","0","0","","6","","","","","-6","","","","","9999"
"698","g","Miscellaneous information","Miscellaneous information","0","0","","6","","","","","-6","","","","","9999"
"698","h","Medium","Medium","0","0","","6","","","","","-6","","","","","9999"
"698","k","Form subheading","Form subheading","1","0","","6","","","","","-6","","","","","9999"
"698","l","Language of a work","Language of a work","0","0","","6","","","","","-6","","","","","9999"
"698","n","Number of part/section/meeting","Number of part/section/meeting","1","0","","6","","","","","-6","","","","","9999"
"698","p","Name of part/section of a work","Name of part/section of a work","1","0","","6","","","","","-6","","","","","9999"
"698","q","Name of meeting following jurisdiction name entry element","Name of meeting following jurisdiction name entry element","0","0","","6","","","","","-6","","","","","9999"
"698","s","Version","Version","0","0","","6","","","","","-6","","","","","9999"
"698","t","Title of a work","Title of a work","0","0","","6","","","","","-6","","","","","9999"
"698","u","Affiliation","Affiliation","0","0","","6","","","","","-6","","","","","9999"
"698","v","Form subdivision","Form subdivision","1","0","","6","","","","","-6","","","","","9999"
"698","x","General subdivision","General subdivision","1","0","","6","","","","","-6","","","","","9999"
"698","y","Chronological subdivision","Chronological subdivision","1","0","","6","","","","","-6","","","","","9999"
"698","z","Geographic subdivision","Geographic subdivision","1","0","","6","","","","","-6","","","","","9999"
"699","%","% (RLIN)","% (RLIN)","0","0","","6","","","","0","-6","","","","","9999"
"699","2","Source of heading or term","Source of heading or term","0","0","","6","","","","","-6","","","","","9999"
"699","3","Materials specified","Materials specified","0","0","","6","","","","","-6","","","","","9999"
"699","6","Linkage","Linkage","0","0","","6","","","","","-6","","","","","9999"
"699","8","Field link and sequence number","Field link and sequence number","1","0","","6","","","","","-6","","","","","9999"
"699","9","9 (RLIN)","9 (RLIN)","0","0","","6","","","","0","-5","","","","","9999"
"699","a","Uniform title","Uniform title","0","0","","6","","UNIF_TITLE","","","-6","","","","","9999"
"699","d","Date of treaty signing","Date of treaty signing","1","0","","6","","","","","-6","","","","","9999"
"699","f","Date of a work","Date of a work","0","0","","6","","","","","-6","","","","","9999"
"699","g","Miscellaneous information","Miscellaneous information","0","0","","6","","","","","-6","","","","","9999"
"699","h","Medium","Medium","0","0","","6","","","","","-6","","","","","9999"
"699","k","Form subheading","Form subheading","1","0","","6","","","","","-6","","","","","9999"
"699","l","Language of a work","Language of a work","0","0","","6","","","","","-6","","","","","9999"
"699","m","Medium of performance for music","Medium of performance for music","1","0","","6","","","","","-6","","","","","9999"
"699","n","Number of part/section of a work","Number of part/section of a work","1","0","","6","","","","","-6","","","","","9999"
"699","o","Arranged statement for music","Arranged statement for music","0","0","","6","","","","","-6","","","","","9999"
"699","p","Name of part/section of a work","Name of part/section of a work","1","0","","6","","","","","-6","","","","","9999"
"699","r","Key for music","Key for music","0","0","","6","","","","","-6","","","","","9999"
"699","s","Version","Version","0","0","","6","","","","","-6","","","","","9999"
"699","t","Title of a work","Title of a work","0","0","","6","","","","","-6","","","","","9999"
"699","v","Form subdivision","Form subdivision","1","0","","6","","","","","-6","","","","","9999"
"699","x","General subdivision","General subdivision","1","0","","6","","","","","-6","","","","","9999"
"699","y","Chronological subdivision","Chronological subdivision","1","0","","6","","","","","-6","","","","","9999"
"700","3","Materials specified","Materials specified","0","0","","7","","","","","-6","","","","","9999"
"700","4","Relator code","Relator code","1","0","","7","","","","","0","","","","","9999"
"700","5","Institution to which field applies","Institution to which field applies","0","0","","7","","","","","-6","","","","","9999"
"700","6","Linkage","Linkage","0","0","","7","","","","","-6","","","","","9999"
"700","8","Field link and sequence number","Field link and sequence number","1","0","","7","","","","","-6","","","","","9999"
"700","9","9 (RLIN)","9 (RLIN)","0","0","","7","","","","0","-5","","","","","9999"
"700","a","Personal name","Personal name","0","0","additionalauthors.author","7","","PERSO_NAME","","","0","","","","","9999"
"700","b","Numeration","Numeration","0","0","","7","","","","","-1","","","","","9999"
"700","c","Titles and other words associated with a name","Titles and other words associated with a name","1","0","","7","","","","","-1","","","","","9999"
